code,node_id_old,node_id_new
PR0022839,11897,14758
PR0004925,26137,16586
PR0004908,26141,16588
PR0004905,26156,16602
PR0001794,41046,19864
PR0001791,41047,19865
PR0001792,41048,19866
PR0015098,41496,19962
PR0030064,22055,16007
PR0022838,11899,14759
PR0022837,11901,14760
PR0022782,12234,14815
PR0004871,26193,16630
PR0004878,26196,16631
PR0004881,26197,16632
PR0004877,26199,16633
PR0004923,26214,16645
PR0021333,22100,16021
PR0021289,22336,16037
PR0021288,22340,16038
PR0015097,41497,19963
PR0002209,41879,20030
PR0002216,41880,20031
PR0022781,12236,14816
PR0022778,12241,14818
PR0030248,12423,14833
PR0030247,12427,14834
PR0022751,12429,14835
PR0022733,12555,14850
PR0022730,12567,14852
PR0022731,12568,14853
PR0022742,12511,14838
PR0022732,12565,14851
PR0002218,41881,20032
PR0015018,42001,20066
PR0002795,42021,20068
PR0002794,42022,20069
PR0022728,12574,14856
PR0022709,12715,14874
PR0030243,12857,14894
PR0005315,12861,14896
PR0022654,13132,14927
PR0022653,13134,14928
PR0003951,42040,20084
PR0002515,42041,20085
PR0003904,42042,20086
PR0003918,42043,20087
PR0002576,43407,20365
PR0002577,43408,20366
PR0002583,43432,20384
PR0002585,43434,20385
PR0004919,26152,16600
PR0022624,13532,14945
PR0022623,13533,14946
PR0022600,13660,14958
PR0022078,13666,14959
PR0022595,13669,14960
PR0022594,13686,14962
PR0010425,13727,14976
PR0022220,16497,15259
PR0004965,26215,16646
PR0004967,26216,16647
PR0004918,26154,16601
PR0003811,43908,20482
PR0010420,13729,14977
PR0000991,13730,14978
PR0020163,13740,14979
PR0022509,14345,14998
PR0022508,14352,14999
PR0022495,14404,15012
PR0022494,14406,15013
PR0022492,14411,15014
PR0010053,14891,15071
PR0005003,26263,16690
PR0004894,26284,16706
PR0010514,44437,20544
PR0022419,14961,15084
PR0022417,14968,15085
PR0022392,15152,15107
PR0022391,15154,15108
PR0020635,15188,15119
PR0004952,26226,16657
PR0004950,26227,16658
PR0004951,26228,16659
PR0004972,26229,16660
PR0010481,44600,20559
PR0010476,44614,20560
PR0001192,45232,20592
PR0000982,45251,20606
PR0001437,45252,20607
PR0000972,45253,20608
PR0022380,15190,15120
PR0022379,15192,15121
PR0022378,15194,15122
PR0022346,15316,15152
PR0022345,15318,15153
PR0022343,15321,15154
PR0020762,15487,15169
PR0022294,15621,15198
PR0004595,26418,16810
PR0004592,26420,16811
PR0004654,26437,16826
PR0010327,45426,20684
PR0010321,45466,20698
PR0003678,45671,20743
PR0003679,45672,20744
PR0003677,45673,20745
PR0003681,45675,20746
PR0003682,45676,20747
PR0021115,15622,15199
PR0022279,15809,15212
PR0022278,15810,15213
PR0010837,15825,15214
PR0015069,16095,15227
PR0015070,16096,15228
PR0022264,16112,15229
PR0022262,16129,15230
PR0022239,16342,15243
PR0022237,16345,15244
PR0004975,26230,16661
PR0003697,45693,20763
PR0010280,46109,20795
PR0010256,46133,20810
PR0010252,46134,20811
PR0022238,16346,15245
PR0022219,16499,15260
PR0022218,16500,15261
PR0030213,16798,15326
PR0030212,16801,15327
PR0022076,17349,15374
PR0022075,17356,15375
PR0022074,17357,15376
PR0004981,26246,16675
PR0004978,26247,16676
PR0010298,46177,20825
PR0010297,46178,20826
PR0010296,46179,20827
PR0022013,17430,15391
PR0001736,17514,15404
PR0001796,17519,15405
PR0001797,17520,15406
PR0022028,17624,15426
PR0021999,17742,15448
PR0021996,17761,15449
PR0005001,26262,16689
PR0001730,46266,20858
PR0001732,46267,20859
PR0003735,46283,20875
PR0003691,46284,20876
PR0003740,46300,20892
PR0003727,46301,20893
PR0002083,46432,21017
PR0002084,46434,21018
PR0021995,17763,15450
PR0021993,17778,15451
PR0030150,17848,15465
PR0030149,17849,15466
PR0030148,17850,15467
PR0030147,17851,15468
PR0009051,1914,22893
PR0030111,17899,15499
PR0021971,17972,15531
PR0004854,26303,16722
PR0001921,46449,21033
PR0001920,46450,21034
PR0021952,18195,15544
PR0021951,18210,15545
PR0003903,18878,15644
PR0021833,18880,15645
PR0021831,18881,15646
PR0021762,19256,15698
PR0004924,26319,16735
PR0004688,26320,16736
PR0004683,26340,16750
PR0003721,46465,21047
PR0003720,46466,21048
PR0003718,46467,21049
PR0003719,46468,21050
PR0021760,19257,15699
PR0021759,19259,15700
