code,longitude,latitude,pat1,value,dwfscencario_id,node_id
PR0022971,41.99210053344917,2.8052689831291744,hora,0.7117384398693398,2,14638
PR0022972,41.99178614186141,2.805467630726511,hora,0.0649305243389573,2,14639
PR0022970,41.98947090876295,2.804234131224772,hora,3.3917039526978434,2,14640
PR0022969,41.98945846830498,2.803740490475973,hora,3.3917039526978434,2,14641
PR0022968,41.98947709414199,2.803302132299681,hora,3.3917039526978434,2,14642
PR0022967,41.98950180180886,2.804584339946493,hora,3.3917039526978434,2,14643
PR0022966,41.98990457220293,2.8044463514921283,hora,3.3917039526978434,2,14644
PR0022965,41.990222760205896,2.804340427590481,hora,3.3917039526978434,2,14645
PR0022964,41.99107232443857,2.804063780866181,hora,0.0566060981416551,2,14646
PR0022963,41.991294355816336,2.8039887200624087,hora,0.0566060981416551,2,14647
PR0022961,41.99175086049673,2.803840864793861,hora,0.0566060981416551,2,14648
PR0022962,41.99151335349215,2.803919897748819,hora,0.0566060981416551,2,14649
PR0022960,41.99117231354967,2.8056038300179997,hora,14.399418308932312,2,14650
PR0022959,41.99109780778009,2.805207781981748,hora,14.399418308932312,2,14651
PR0022957,41.99097099649641,2.8045341298466746,hora,0.0437032375358366,2,14652
PR0022958,41.99104027746457,2.804880390894545,hora,0.5165306455426029,2,14653
PR0022955,41.99068484685756,2.80299039129679,hora,0.0482816719443528,2,14654
PR0022956,41.99079423793165,2.803584849670589,hora,0.1281961634384542,2,14655
PR0000629,41.98596580523147,2.8222024102678103,hora,0.0843514554000114,2,13159
PR0022954,41.99050806442799,2.804244076004073,hora,3.3917039526978434,2,14656
PR0022952,41.99090121766972,2.804119971612206,hora,0.0566060981416551,2,14657
PR0022953,41.99062377991053,2.804210799759053,hora,3.3917039526978434,2,14658
PR0022951,41.989849757791774,2.8066666740425896,hora,0.0946410454428443,2,14659
PR0022950,41.99015010443031,2.806489878780632,hora,0.4038017938894693,2,14660
PR0022949,41.99051021948707,2.806265044167729,hora,0.0126188060590459,2,14661
PR0022948,41.99078543266893,2.80609114626476,hora,14.399418308932312,2,14662
PR0022947,41.991217383324376,2.805822988778812,hora,14.399418308932312,2,14663
PR0022942,41.989640479483874,2.802031876447182,hora,3.3917039526978434,2,14664
PR0022941,41.98970808355318,2.801544916858529,hora,0.1085118732177555,2,14666
PR0022940,41.98976653399032,2.801114895839173,hora,0.1085118732177555,2,14667
PR0022939,41.98957326402553,2.802520813743663,hora,3.3917039526978434,2,14668
PR0022938,41.9900606605342,2.802357572566091,hora,0.0482816719443528,2,14669
PR0022937,41.99073322715421,2.8021324389384623,hora,0.0,2,14670
PR0022935,41.99154191100647,2.801865191450664,hora,0.0087288761197901,2,14671
PR0022936,41.99117392852938,2.801993192407409,hora,0.0,2,14672
PR0022934,41.98951494752325,2.802953234246329,hora,3.3917039526978434,2,14673
PR0022933,41.98973180509066,2.8028709798792995,hora,3.3917039526978434,2,14674
PR0022932,41.99015152984565,2.8027364049518866,hora,3.3917039526978434,2,14675
PR0022931,41.99061108574696,2.802588244267497,hora,0.0482816719443528,2,14676
PR0022930,41.990805243702965,2.8025203274400807,hora,0.0482816719443528,2,14677
PR0022929,41.991245380799526,2.8023773908010194,hora,0.0,2,14678
PR0022928,41.99054203806509,2.8022035228945072,hora,0.0482816719443528,2,14679
PR0022926,41.99031585459936,2.801022391608176,hora,0.1085118732177555,2,14680
PR0022927,41.9904263285405,2.801611292204197,hora,0.0299275752678517,2,14681
PR0022925,41.98995481927354,2.8006981610397865,hora,0.1085118732177555,2,14682
PR0022924,41.99026096407859,2.800593080697844,hora,0.1085118732177555,2,14683
PR0022922,41.99103821524472,2.800343842087337,hora,2.382952902158627,2,14684
PR0022923,41.99069947885029,2.800450861444052,hora,2.382952902158627,2,14685
PR0022921,41.98981957542336,2.800740196408691,hora,0.1085118732177555,2,14686
PR0022920,41.9898709499462,2.8003658154401965,hora,0.1085118732177555,2,14687
PR0022919,41.98993609583047,2.799878111493039,hora,0.1085118732177555,2,14688
PR0022918,41.98996650150614,2.799444498262447,hora,0.1085118732177555,2,14689
PR0023205,41.97971808400359,2.8233089511033,hora,0.0601033778098329,2,12980
PR0024224,41.98456598043337,2.8243682574704527,hora,0.0587622981095329,2,13160
PR0024240,41.9882691533193,2.826077935878518,hora,0.0970130115538278,2,13161
PR0022814,41.96358362095244,2.829170791470643,hora,0.0375646111311455,2,14690
PR0010939,41.98816489531114,2.826239057358109,hora,0.0970130115538278,2,13162
PR0022904,41.99842359566118,2.819286491379153,hora,375.7727867841454,2,14691
PR0022903,41.9916078874531,2.8022597796382924,hora,0.0,2,14692
PR0011098,41.99170437903823,2.802898015646145,hora,0.0482816719443528,2,14693
PR0022902,41.99157761420614,2.8039630184469044,hora,0.0566060981416551,2,14694
PR0030256,41.99192200231582,2.8038499502162555,hora,0.0566060981416551,2,14695
PR0022901,41.985000925201646,2.8127074180171787,hora,10.473588342440802,2,14696
PR0022899,41.97922697394407,2.8147525006897767,hora,1.808432607431014,2,14697
PR0024223,41.98956975717049,2.8302359183432984,hora,0.0991129600950134,2,13163
PR0022896,41.9834588723202,2.8165112724523507,hora,0.0354082572055803,2,14698
PR0021496,41.97455370963111,2.8167953529092205,hora,38.9961230718469,2,14699
PR0022895,41.98118120942923,2.8209203685381583,hora,0.0,2,14700
PR0022894,41.98077324277092,2.820881953449854,hora,0.0,2,14701
PR0022893,41.98088854713245,2.8207645261790444,hora,0.0,2,14702
PR0022892,41.98089612340775,2.820754072744281,hora,0.0,2,14703
PR0022890,41.98106934674222,2.820895345439516,hora,0.0,2,14704
PR0022891,41.981144819025765,2.8209125552384724,hora,0.0,2,14705
PR0022888,41.98113359563622,2.82092585173428,hora,0.0,2,14706
PR0024222,41.98987493028066,2.8308090059949143,hora,0.0012652718310001,2,13164
PR0030253,42.02432404232385,2.8277640396603414,hora,0.045526974732529,2,14707
PR0024221,41.989500298513214,2.8306211170767317,hora,0.000421757277,2,13165
PR0022887,41.98067217399615,2.822348437559243,hora,0.3806097840292092,2,14708
PR0022886,41.98066039533745,2.8223221858232064,hora,0.3806097840292092,2,14709
PR0022885,41.98065297667012,2.822300744627247,hora,0.3806097840292092,2,14710
PR0001151,41.9807132760874,2.8223576285720124,hora,0.3806097840292092,2,14711
PR0022884,41.98046519929406,2.8221330183170745,hora,0.9725758861808336,2,14712
PR0022883,41.98058083538734,2.822250264640699,hora,0.9725758861808336,2,14713
PR0022882,41.98043520294983,2.822118595644032,hora,0.9725758861808336,2,14714
PR0022881,41.980941859300586,2.822578105615725,hora,0.3197460088174664,2,14715
PR0022879,41.98076980185158,2.822438121610603,hora,0.4803935437802299,2,14716
PR0022880,41.98106011659284,2.822758980693456,hora,0.0757851339881168,2,14717
PR0001339,41.98117455214797,2.8216921880731896,hora,5.338220632418523,2,14718
PR0001338,41.98113715471812,2.822032162696118,hora,5.338220632418523,2,14719
